Math   134A     FIXED INCOME      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44680,Lec,A,4,"LUDWIG, J.",MWF   11:00- 11:50,ALP 2600,    TBA,50,1,0,2,0,A and L,Bookstore,,OPEN
44682,Dis,A1,0,STAFF,TuTh   8:00- 8:50,MSTB 124,,50,1,0,1,0,A and L,Bookstore,,OPEN
44684,Lec,B,4,"LUDWIG, J.",MWF   12:00- 12:50p,ALP 2600,    TBA,50,2,0,3,0,A and L,Bookstore,,OPEN
44686,Dis,B1,0,STAFF,TuTh   12:00- 12:50p,SSTR 103,,50,2,0,2,0,A and L,Bookstore,,OPEN
Econ   123A     ECONOMETRICS I      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
62270,Lec,A,4,"HARDING, M.",TuTh   3:30- 4:50p,VRTL REMOTE,    TBA,110,16,0,23,0,A and L,Bookstore,,OPEN
62271,Dis,A1,0,STAFF,M   8:00- 8:50p,VRTL REMOTE,,55,7,0,7,0,,Bookstore,,OPEN
,,,,"HARDING, M.",,,,,,,,,,,,
62272,Dis,A2,0,STAFF,Tu   7:00- 7:50p,VRTL REMOTE,,55,9,0,9,0,,Bookstore,,OPEN
,,,,"HARDING, M.",,,,,,,,,,,,
Econ   134A     CORPORATE FINANCE      (Prerequisites),,,,,,,,,,,,,,,,
,    Economics 134A and Management 109 may not both be taken for credit.,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
62315,Lec,A,4,"LIEBERSOHN, C.",TuTh   9:30- 10:50,VRTL REMOTE,    TBA,246,16,0,19,0,A and L,Bookstore,,OPEN
62316,Dis,A1,0,STAFF,M   6:00- 6:50p,SST 220A,,49,6,0,6,0,,Bookstore,,OPEN
,,,,"LIEBERSOHN, C.",,,,,,,,,,,,
62317,Dis,A2,0,STAFF,M   7:00- 7:50p,SST 220A,,49,4,0,3,0,,Bookstore,,OPEN
,,,,"LIEBERSOHN, C.",,,,,,,,,,,,
62318,Dis,A3,0,STAFF,Th   7:00- 7:50p,SST 220A,,49,3,0,2,0,,Bookstore,,OPEN
,,,,"LIEBERSOHN, C.",,,,,,,,,,,,
62319,Dis,A4,0,STAFF,Th   8:00- 8:50p,SST 220A,,49,0,0,0,0,,Bookstore,,OPEN
,,,,"LIEBERSOHN, C.",,,,,,,,,,,,
62320,Dis,A5,0,STAFF,F   4:00- 4:50p,DBH 1200,,50,3,0,3,0,,Bookstore,,OPEN
,,,,"LIEBERSOHN, C.",,,,,,,,,,,,
I&C Sci   32     PROG SOFTWARE LIBR      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
35640,Lec,A,4,"BALDWIN, M.",TuTh   11:00- 12:20p,ICS 174,    TBA,130,0,n/a,9,30,A,Bookstore,,OPEN
35641,Lab,A1,0,STAFF,MWF   2:00- 3:20p,ICS 364A,,44,0,n/a,1,10,A,Bookstore,,OPEN
,,,,"BALDWIN, M.",,,,,,,,,,,,
35642,Lab,A2,0,STAFF,MWF   3:30- 4:50p,ICS 364A,,44,0,n/a,0,10,A,Bookstore,,OPEN
,,,,"BALDWIN, M.",,,,,,,,,,,,
35643,Lab,A3,0,STAFF,MWF   5:00- 6:20p,ICS 364A,,42,0,n/a,0,10,A,Bookstore,,OPEN
,,,,"BALDWIN, M.",,,,,,,,,,,,
35650,Lec,B,4,"IBRAHIM, M.",TuTh   8:00- 9:20,PCB 1100,    TBA,130,0,n/a,2,30,A,Bookstore,,OPEN
35651,Lab,B1,0,STAFF,MWF   8:00- 9:20,ICS 364A,,44,0,n/a,0,10,A,Bookstore,,OPEN
,,,,"IBRAHIM, M.",,,,,,,,,,,,
35652,Lab,B2,0,STAFF,MWF   9:30- 10:50,ICS 364A,,44,0,n/a,1,10,A,Bookstore,,OPEN
,,,,"IBRAHIM, M.",,,,,,,,,,,,
35653,Lab,B3,0,STAFF,MWF   12:30- 1:50p,ICS 364A,,42,0,n/a,0,10,A,Bookstore,,OPEN
,,,,"IBRAHIM, M.",,,,,,,,,,,,
