Math   120A     INTRO GROUP THEORY      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44578,Lec,A,4,"FOREMAN, M.",MWF   4:00- 4:50p,MSTB 122,    TBA,54,0,0,0,2,A and L,Bookstore,,OPEN
44579,Dis,A1,0,STAFF,TuTh   4:00- 4:50p,TBA,,54,0,0,0,2,A and L,Bookstore,,OPEN
44580,Lec,B,4,"DELLACA, R.",MWF   2:00- 2:50p,MSTB 122,    TBA,54,0,0,0,2,A and L,Bookstore,,OPEN
44581,Dis,B1,0,STAFF,TuTh   9:00- 9:50,MSTB 122,,54,0,0,0,2,A and L,Bookstore,,OPEN
44582,Lec,C,4,"GOLDBRING, I.",MWF   12:00- 12:50p,VRTL REMOTE,    TBA,54,0,0,0,1,A and L,Bookstore,,OPEN
44583,Dis,C1,0,STAFF,TuTh   1:00- 1:50p,VRTL REMOTE,,54,0,0,0,1,A and L,Bookstore,,OPEN
Math   121B     LINEAR ALGEBRA      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44652,Lec,A,4,"FERBER, A.",MWF   11:00- 11:50,PSCB 120,    TBA,65,0,0,0,0,A and L,Bookstore,,OPEN
44654,Dis,A1,0,STAFF,TuTh   3:00- 3:50p,TBA,,65,0,0,0,0,A and L,Bookstore,,OPEN
CompSci   178     MACHINE/DATA MINING      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
34340,Lec,A,4,"IHLER, A.",MWF   10:00- 10:50,SSLH 100,    TBA,399,0,n/a,0,0,A,Bookstore,,OPEN
34341,Dis,1,0,STAFF,F   11:00- 11:50,ICS 174,,112,0,n/a,0,0,A,Bookstore,,OPEN
,,,,"IHLER, A.",,,,,,,,,,,,
34342,Dis,2,0,STAFF,F   12:00- 12:50p,ICS 174,,112,0,n/a,0,0,A,Bookstore,,OPEN
,,,,"IHLER, A.",,,,,,,,,,,,
34343,Dis,3,0,STAFF,F   1:00- 1:50p,TBA,,100,0,n/a,0,0,A,Bookstore,,OPEN
,,,,"IHLER, A.",,,,,,,,,,,,
34344,Dis,4,0,STAFF,F   2:00- 2:50p,TBA,,100,0,n/a,0,0,A,Bookstore,,OPEN
,,,,"IHLER, A.",,,,,,,,,,,,
Econ   105A     INTER QUANT ECON I      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
62195,Lec,A,4,"CHEN, J.",Tu   7:00- 9:50p,SSPA 1100,    TBA,191,0,0,0,0,A and L,Bookstore,,OPEN
62196,Dis,A1,0,STAFF,M   4:00- 4:50p,DBH 1200,,48,0,0,0,0,,Bookstore,,OPEN
,,,,"CHEN, J.",,,,,,,,,,,,
62197,Dis,A2,0,STAFF,M   5:00- 5:50p,DBH 1200,,48,0,0,0,0,,Bookstore,,OPEN
,,,,"CHEN, J.",,,,,,,,,,,,
62198,Dis,A3,0,STAFF,Th   5:00- 5:50p,DBH 1200,,48,0,0,0,0,,Bookstore,,OPEN
,,,,"CHEN, J.",,,,,,,,,,,,
62199,Dis,A4,0,STAFF,Th   6:00- 6:50p,DBH 1200,,47,0,0,0,0,,Bookstore,,OPEN
,,,,"CHEN, J.",,,,,,,,,,,,
I&C Sci   33     INTERMEDIATE PRGRMG      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
35680,Lec,A,4,"PATTIS, R.",MWF   1:00- 1:50p,TBA,    TBA,352,0,n/a,0,36,A,Bookstore,,OPEN
35681,Lab,1,0,STAFF,TuTh   12:00- 1:50p,ICS 183,,42,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35682,Lab,2,0,STAFF,TuTh   12:00- 1:50p,ICS 189,,40,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35683,Lab,3,0,STAFF,TuTh   12:00- 1:50p,ICS 192,,36,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35684,Lab,4,0,STAFF,TuTh   2:00- 3:50p,ICS 183,,42,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35685,Lab,5,0,STAFF,TuTh   2:00- 3:50p,ICS 189,,40,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35686,Lab,6,0,STAFF,TuTh   2:00- 3:50p,ICS 192,,36,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35687,Lab,7,0,STAFF,TuTh   4:00- 5:50p,ICS 183,,40,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35688,Lab,8,0,STAFF,TuTh   4:00- 5:50p,ICS 189,,40,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
35689,Lab,9,0,STAFF,TuTh   4:00- 5:50p,ICS 192,,36,0,n/a,0,4,A,Bookstore,,OPEN
,,,,"PATTIS, R.",,,,,,,,,,,,
Math   10     INTRO PROG DATA SCI      (Prerequisites),,,,,,,,,,,,,,,,
Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44418,Lec,A,4,"DAVIS, C.",MWF   12:00- 12:50p,ALP 3600,    TBA,50,0,0,0,10,A and L,Bookstore,,OPEN
44420,Lab,AL,0,STAFF,TuTh   10:00- 10:50,ALP 3600,,50,0,0,0,10,A and L,Bookstore,,OPEN
